Facility ID,Score,Footnote,hosp_name,state,zipcode,hosp_type,hosp_ownership,hosp_emergency_services,hosp_rating,hosp_rating_fn
010069,1.05,,MEDICAL CENTER BARBOUR,AL,36027,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
010073,0.92,,CLAY COUNTY HOSPITAL,AL,36251,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,
010078,1.05,,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,36207,Acute Care Hospitals,Government - Local,Yes,2,
010079,1.01,,ATHENS LIMESTONE HOSPITAL,AL,35611,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
010083,0.99,,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,36535,Acute Care Hospitals,Proprietary,Yes,5,
010085,1.00,,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,35601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
010086,1.00,,NORTHWEST MEDICAL CENTER,AL,35594,Acute Care Hospitals,Proprietary,Yes,4,
010087,1.00,,USA HEALTH UNIVERSITY HOSPITAL,AL,36617,Acute Care Hospitals,Government - State,Yes,3,
010089,1.00,,WALKER BAPTIST MEDICAL CENTER,AL,35502,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
010090,0.99,,PROVIDENCE HOSPITAL,AL,36608,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,
010091,0.85,,GROVE HILL MEMORIAL HOSPITAL,AL,36451,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010092,1.00,,D C H REGIONAL MEDICAL CENTER,AL,35401,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010095,0.94,,HALE COUNTY HOSPITAL,AL,36744,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,
010097,0.92,,ELMORE COMMUNITY HOSPITAL,AL,36092,Acute Care Hospitals,Government - State,Yes,4,
010099,1.04,,D W MCMILLAN MEMORIAL HOSPITAL,AL,36426,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
010100,0.97,,THOMAS HOSPITAL,AL,36532,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
010101,0.98,,CITIZENS BAPTIST MEDICAL CENTER,AL,35161,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
010102,0.93,,J PAUL JONES HOSPITAL,AL,36726,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,16.0
010103,1.00,,PRINCETON BAPTIST MEDICAL CENTER,AL,35211,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,
010104,1.02,,GRANDVIEW MEDICAL CENTER,AL,35243,Acute Care Hospitals,Proprietary,Yes,3,
010108,0.98,,PRATTVILLE BAPTIST HOSPITAL,AL,36067,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,
010109,0.96,,PICKENS COUNTY MEDICAL CENTER,AL,35447,Acute Care Hospitals,Government - Local,Yes,3,
010110,1.27,,BULLOCK COUNTY HOSPITAL,AL,36089,Acute Care Hospitals,Proprietary,Yes,Not Available,16.0
010112,1.05,,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,AL,36732,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
010113,1.01,,MOBILE INFIRMARY MEDICAL CENTER,AL,36652,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
010114,1.02,,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,35021,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
010118,0.99,,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,36701,Acute Care Hospitals,Proprietary,Yes,2,
010120,1.07,,MONROE COUNTY HOSPITAL,AL,36460,Acute Care Hospitals,Government - Local,Yes,3,
010125,0.90,,LAKELAND COMMUNITY HOSPITAL,AL,35565,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,
010126,0.92,,TROY REGIONAL MEDICAL CENTER,AL,36081,Acute Care Hospitals,Government - Federal,Yes,3,
010128,1.03,,JACKSON MEDICAL CENTER,AL,36545,Acute Care Hospitals,Proprietary,Yes,2,
010129,0.97,,NORTH BALDWIN INFIRMARY,AL,36507,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
010130,0.95,,ST VINCENT'S ST CLAIR,AL,35125,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
010131,0.97,,CRESTWOOD MEDICAL CENTER,AL,35801,Acute Care Hospitals,Proprietary,Yes,2,
010138,1.15,,HILL HOSPITAL OF SUMTER COUNTY,AL,36925,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,16.0
010139,1.07,,BROOKWOOD BAPTIST MEDICAL CENTER,AL,35209,Acute Care Hospitals,Proprietary,Yes,3,
010144,0.98,,SPRINGHILL MEDICAL CENTER,AL,36608,Acute Care Hospitals,Proprietary,Yes,2,
010148,0.90,,EVERGREEN MEDICAL CENTER,AL,36401,Acute Care Hospitals,Proprietary,Yes,4,
010149,0.98,,BAPTIST MEDICAL CENTER EAST,AL,36117,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,
010150,0.90,,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,36037,Acute Care Hospitals,Proprietary,Yes,2,
010157,1.08,,SHOALS HOSPITAL,AL,35661,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010158,0.99,,RUSSELLVILLE HOSPITAL,AL,35653,Acute Care Hospitals,Proprietary,Yes,4,
010164,0.98,,COOSA VALLEY MEDICAL CENTER,AL,35150,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010168,0.94,,JACK HUGHSTON MEMORIAL HOSPITAL,AL,36867,Acute Care Hospitals,Government - State,Yes,5,
010169,0.93,,ATMORE COMMUNITY HOSPITAL,AL,36502,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
010173,0.97,,ST VINCENT'S CHILTON,AL,35045,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,
020001,0.91,,PROVIDENCE ALASKA MEDICAL CENTER,AK,99508,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,
020006,0.79,,MAT-SU REGIONAL MEDICAL CENTER,AK,99645,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,
020008,0.89,,BARTLETT REGIONAL HOSPITAL,AK,99801,Acute Care Hospitals,Government - Local,Yes,4,
020012,0.80,,FAIRBANKS MEMORIAL HOSPITAL,AK,99701,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
020017,0.89,,ALASKA REGIONAL HOSPITAL,AK,99508,Acute Care Hospitals,Proprietary,Yes,4,
020018,0.80,,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,99559,Acute Care Hospitals,Tribal,Yes,3,17.0
020024,0.90,,CENTRAL PENINSULA GENERAL HOSPITAL,AK,99669,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,
020026,0.88,,ALASKA NATIVE MEDICAL CENTER,AK,99508,Acute Care Hospitals,Government - Federal,Yes,2,
030002,0.99,,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,85006,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,
030006,1.01,,TUCSON MEDICAL CENTER,AZ,85712,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
030007,0.98,,VERDE VALLEY MEDICAL CENTER,AZ,86326,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
030010,1.03,,ST. MARY'S HOSPITAL,AZ,85745,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
030011,1.01,,ST JOSEPH'S HOSPITAL,AZ,85711,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,
030012,1.01,,YAVAPAI REGIONAL MEDICAL CENTER,AZ,86301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
030013,1.00,,YUMA REGIONAL MEDICAL CENTER,AZ,85364,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
030014,1.04,,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,AZ,85020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
030016,0.92,,BANNER CASA GRANDE MEDICAL CENTER,AZ,85122,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,
030022,1.01,,VALLEYWISE HEALTH MEDICAL CENTER,AZ,85008,Acute Care Hospitals,Government - Local,Yes,3,
030023,1.01,,FLAGSTAFF MEDICAL CENTER,AZ,86001,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,
030024,1.03,,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,AZ,85013,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,
030030,1.05,,ABRAZO CENTRAL CAMPUS,AZ,85015,Acute Care Hospitals,Physician,Yes,2,
030036,1.03,,CHANDLER REGIONAL MEDICAL CENTER,AZ,85224,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,
030037,0.94,,ST LUKE'S MEDICAL CENTER,AZ,85006,Acute Care Hospitals,Proprietary,Yes,4,
030038,0.99,,SCOTTSDALE OSBORN MEDICAL CENTER,AZ,85251,Acute Care Hospitals,Proprietary,Yes,3,
030043,0.93,,CANYON VISTA MEDICAL CENTER,AZ,85635,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,
030055,0.95,,KINGMAN REGIONAL MEDICAL CENTER,AZ,86409,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
030061,0.94,,BANNER BOSWELL MEDICAL CENTER,AZ,85351,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,
030062,0.94,,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,85901,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
030064,0.97,,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,85724,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
030065,1.01,,BANNER DESERT MEDICAL CENTER,AZ,85202,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
030068,1.04,,MT. GRAHAM REGIONAL MEDICAL CENTER,AZ,85546,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
030069,0.92,,HAVASU REGIONAL MEDICAL CENTER,AZ,86403,Acute Care Hospitals,Proprietary,Yes,3,
030071,0.73,,FORT DEFIANCE INDIAN HOSPITAL,AZ,86504,Acute Care Hospitals,Government - Federal,Yes,3,17.0
030073,0.76,,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,86045,Acute Care Hospitals,Voluntary non-profit - Other,No,4,
030074,Not Available,1.0,SELLS HOSPITAL,AZ,85634,Acute Care Hospitals,Tribal,Yes,Not Available,16.0
030077,1.13,,SAN CARLOS APACHE HEALTHCARE CORP,AZ,85542,Acute Care Hospitals,Government - Federal,No,Not Available,16.0
030078,0.79,,PHOENIX INDIAN MEDICAL CENTER,AZ,85016,Acute Care Hospitals,Government - Federal,No,Not Available,16.0
030083,0.97,,ABRAZO SCOTTSDALE CAMPUS,AZ,85032,Acute Care Hospitals,Proprietary,Yes,3,
030084,0.67,,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,86503,Acute Care Hospitals,Government - Federal,Yes,4,17.0
030085,1.00,,NORTHWEST MEDICAL CENTER,AZ,85741,Acute Care Hospitals,Proprietary,Yes,2,
030087,1.02,,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,AZ,85260,Acute Care Hospitals,Proprietary,Yes,4,
030088,0.97,,BANNER BAYWOOD MEDICAL CENTER,AZ,85206,Acute Care Hospitals,Voluntary non-profit - Private,No,4,
030089,1.01,,BANNER THUNDERBIRD MEDICAL CENTER,AZ,85306,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
030092,0.99,,HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,85027,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
030093,0.94,,BANNER DEL E. WEBB MEDICAL CENTER,AZ,85375,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
030094,1.05,,ARROWHEAD HOSPITAL,AZ,85308,Acute Care Hospitals,Proprietary,Yes,2,
030101,0.92,,WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,86442,Acute Care Hospitals,Proprietary,Yes,2,
030103,0.94,,MAYO CLINIC HOSPITAL,AZ,85054,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,
030105,0.99,,BANNER HEART HOSPITAL,AZ,85206,Acute Care Hospitals,Voluntary non-profit - Private,No,4,
030107,0.84,,ARIZONA SPINE AND JOINT HOSPITAL,AZ,85206,Acute Care Hospitals,Physician,No,Not Available,16.0
030108,0.88,,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",AZ,85015,Acute Care Hospitals,Physician,No,Not Available,16.0
030110,1.02,,ABRAZO WEST CAMPUS,AZ,85395,Acute Care Hospitals,Proprietary,Yes,2,
030111,0.93,,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,85713,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
030112,1.03,,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,AZ,85224,Acute Care Hospitals,Proprietary,No,Not Available,16.0
030113,0.79,,WHITERIVER PHS INDIAN HOSPITAL,AZ,85941,Acute Care Hospitals,Government - Federal,No,Not Available,16.0
030114,0.94,,ORO VALLEY HOSPITAL,AZ,85755,Acute Care Hospitals,Proprietary,Yes,3,
030115,0.92,,BANNER ESTRELLA MEDICAL CENTER,AZ,85037,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
030117,0.92,,VALLEY VIEW MEDICAL CENTER,AZ,86426,Acute Care Hospitals,Proprietary,Yes,2,
030119,0.98,,MERCY GILBERT MEDICAL CENTER,AZ,85297,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,
030121,0.99,,"MOUNTAIN VISTA MEDICAL CENTER, LP",AZ,85209,Acute Care Hospitals,Proprietary,Yes,2,
030122,0.98,,BANNER GATEWAY MEDICAL CENTER,AZ,85234,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,
030123,0.96,,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,AZ,85255,Acute Care Hospitals,Proprietary,Yes,4,
030130,0.91,,BANNER IRONWOOD MEDICAL CENTER,AZ,85140,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
030131,0.91,,O.A.S.I.S. HOSPITAL,AZ,85008,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,16.0
030134,0.88,,BANNER GOLDFIELD MEDICAL CENTER,AZ,85120,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,
030136,0.93,,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,AZ,85339,Acute Care Hospitals,Proprietary,No,Not Available,16.0
030137,0.87,,SANTA CRUZ VALLEY REGIONAL HOSPITAL,AZ,85614,Acute Care Hospitals,Proprietary,Yes,2,
030138,Not Available,5.0,WESTERN REGIONAL MEDICAL CENTER,AZ,85338,Acute Care Hospitals,Proprietary,No,Not Available,16.0
030139,Not Available,5.0,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,AZ,85212,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,16.0
040001,1.00,,SILOAM SPRINGS REGIONAL HOSPITAL,AR,72761,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,
040002,1.03,,JOHNSON REGIONAL MEDICAL CENTER,AR,72830,Acute Care Hospitals,Government - Local,Yes,2,
040004,0.97,,WASHINGTON REGIONAL MEDICAL CENTER,AR,72703,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
040007,1.02,,CHI-ST VINCENT INFIRMARY,AR,72205,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,
040010,0.94,,MERCY HOSPITAL NORTHWEST ARKANSAS,AR,72758,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,
040011,0.84,,CHAMBERS MEMORIAL HOSPITAL,AR,72833,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
040014,1.02,,WHITE COUNTY MEDICAL CENTER,AR,72143,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
040015,1.19,,MENA REGIONAL HEALTH SYSTEM,AR,71953,Acute Care Hospitals,Government - Local,Yes,3,
040016,1.01,,UAMS MEDICAL CENTER,AR,72205,Acute Care Hospitals,Government - State,Yes,1,
040017,0.90,,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,72601,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
040018,0.94,,BAPTIST HEALTH - VAN BUREN,AR,72956,Acute Care Hospitals,Proprietary,Yes,3,
040019,0.88,,FORREST CITY MEDICAL CENTER,AR,72335,Acute Care Hospitals,Proprietary,Yes,3,
040020,1.06,,ST BERNARDS MEDICAL CENTER,AR,72401,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,
040022,0.99,,NORTHWEST MEDICAL CENTER-SPRINGDALE,AR,72764,Acute Care Hospitals,Proprietary,Yes,2,
040026,1.04,,ST VINCENT HOT SPRINGS,AR,71903,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,
040027,0.96,,BAXTER REGIONAL MEDICAL CENTER,AR,72653,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
040029,1.02,,CONWAY REGIONAL HEALTH SYSTEM,AR,72034,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,
040036,1.02,,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,72117,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
040039,1.09,,ARKANSAS METHODIST MEDICAL CENTER,AR,72450,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
040041,0.96,,ST MARYS REGIONAL MEDICAL CENTER,AR,72801,Acute Care Hospitals,Proprietary,Yes,3,
040047,1.03,,FIVE RIVERS MEDICAL CENTER,AR,72455,Acute Care Hospitals,Government - Local,Yes,2,
040050,0.99,,OUACHITA COUNTY MEDICAL CENTER,AR,71701,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
040051,0.90,,DREW MEMORIAL HOSPITAL,AR,71655,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
040055,1.05,,BAPTIST HEALTH - FORT SMITH,AR,72901,Acute Care Hospitals,Proprietary,Yes,1,
040062,1.04,,MERCY HOSPITAL FORT SMITH,AR,72903,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
040067,1.03,,MAGNOLIA HOSPITAL,AR,71754,Acute Care Hospitals,Government - Local,Yes,2,
040069,0.96,,GREAT RIVER MEDICAL CENTER,AR,72315,Acute Care Hospitals,Government - Local,Yes,2,
040071,1.04,,JEFFERSON REGIONAL MEDICAL CENTER,AR,71603,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,
040072,0.88,,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR,72160,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,
040074,1.33,,NORTH METRO MEDICAL CENTER,AR,72076,Acute Care Hospitals,Proprietary,Yes,2,
040076,0.88,,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,AR,72104,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
040078,1.06,,NATIONAL PARK MEDICAL CENTER,AR,71901,Acute Care Hospitals,Proprietary,Yes,1,
040084,1.03,,SALINE MEMORIAL HOSPITAL,AR,72015,Acute Care Hospitals,Proprietary,Yes,2,
040085,0.79,,HELENA REGIONAL MEDICAL CENTER,AR,72342,Acute Care Hospitals,Proprietary,Yes,2,
040088,1.03,,MEDICAL CENTER OF SOUTH ARKANSAS,AR,71730,Acute Care Hospitals,Proprietary,Yes,3,
040114,1.02,,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,72205,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
040118,1.02,,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",AR,72401,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
040119,0.98,,WHITE RIVER MEDICAL CENTER,AR,72503,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
040132,Not Available,5.0,LEVI HOSPITAL,AR,71901,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,16.0
040134,0.94,,"ARKANSAS HEART HOSPITAL, LLC",AR,72211,Acute Care Hospitals,Proprietary,Yes,5,
040137,1.07,,ST VINCENT MEDICAL CENTER/NORTH,AR,72120,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,
040147,0.90,,ARKANSAS SURGICAL HOSPITAL,AR,72118,Acute Care Hospitals,Proprietary,Yes,Not Available,16.0
040152,1.02,,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,AR,72703,Acute Care Hospitals,Proprietary,Yes,Not Available,16.0
040153,0.92,,WADLEY REGIONAL MEDICAL CENTER AT HOPE,AR,71801,Acute Care Hospitals,Proprietary,Yes,3,
040154,0.92,,BAPTIST HEALTH MEDICAL CENTER-CONWAY,AR,72032,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
040156,Not Available,5.0,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",AR,72301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,16.0
050002,1.10,,ST ROSE HOSPITAL,CA,94545,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,
050006,0.94,,ST JOSEPH HOSPITAL,CA,95501,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
050007,0.93,,PENINSULA MEDICAL CENTER,CA,94010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,
050008,0.95,,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,CA,94117,Acute Care Hospitals,Voluntary non-profit - Other,No,3,
050009,0.91,,QUEEN OF THE VALLEY MEDICAL CENTER,CA,94558,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,
050013,0.97,,ADVENTIST HEALTH ST HELENA,CA,94574,Acute Care Hospitals,Voluntary non-profit - Private,No,3,
050014,0.96,,SUTTER AMADOR HOSPITAL,CA,95642,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
050017,0.94,,MERCY GENERAL HOSPITAL,CA,95819,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
050022,1.05,,RIVERSIDE COMMUNITY HOSPITAL,CA,92501,Acute Care Hospitals,Proprietary,Yes,2,
050024,1.09,,PARADISE VALLEY HOSPITAL,CA,91950,Acute Care Hospitals,Proprietary,Yes,3,
050025,0.99,,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,CA,92103,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,
050026,1.01,,GROSSMONT HOSPITAL,CA,91942,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
050028,0.89,,MAD RIVER COMMUNITY HOSPITAL,CA,95521,Acute Care Hospitals,Proprietary,Yes,4,
050030,0.82,,OROVILLE HOSPITAL,CA,95966,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
050036,0.99,,BAKERSFIELD MEMORIAL HOSPITAL,CA,93301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
050038,1.02,,SANTA CLARA VALLEY MEDICAL CENTER,CA,95128,Acute Care Hospitals,Government - Local,Yes,2,
